OPPONENT,SEASON,TS%,PER,PTS,REB,AST,STL,BLK
ORL,2014-15,0.6292074557120138,18.666666666666668,26.333333333333332,5.666666666666667,10.666666666666666,2.6666666666666665,1.0
ORL,2015-16,0.58893844523738,13.5,21.75,5.25,8.0,2.0,0.25
ORL,2016-17,0.5719795092614922,16.333333333333332,21.666666666666668,9.666666666666666,10.666666666666666,1.0,1.0
ORL,2017-18,0.577110797699033,11.5,24.0,7.25,5.5,2.25,0.5
ORL,2018-19,0.5752515228252686,6.5,23.0,4.0,7.0,0.0,1.0
ORL,2019-20,0.459189046866772,13.0,22.0,7.0,14.5,1.5,0.0
ORL,2021-22,0.639292774919028,17.5,29.5,9.0,7.5,0.5,2.0
ORL,2022-23,0.5308056872037915,9.0,28.0,7.0,5.0,1.0,1.0
ORL,2024-25,0.6485355648535566,19.0,31.0,10.0,7.0,0.0,1.0
PHI,2014-15,0.4129199911815338,4.0,19.0,7.0,8.5,1.0,0.5
PHI,2015-16,0.6257476633681229,20.0,28.25,6.25,9.25,2.75,0.75
PHI,2016-17,0.5724925470298291,17.0,28.333333333333332,9.0,11.0,1.0,0.3333333333333333
PHI,2017-18,0.5816304767960742,18.5,33.5,11.75,9.5,1.5,0.25
PHI,2018-19,0.5625,17.0,18.0,10.0,9.0,0.0,0.0
PHI,2019-20,0.6155350378858129,15.0,25.5,7.0,11.0,1.0,1.0
PHI,2020-21,0.6244260789715335,11.0,34.0,6.0,7.0,0.0,0.0
PHI,2022-23,0.5676958032611601,13.0,29.0,6.0,8.0,1.5,0.5
PHI,2024-25,0.7278297539928108,23.0,26.0,10.0,11.0,0.5,1.5
PHX,2014-15,0.5667258249007705,8.0,25.0,6.5,6.5,1.0,0.0
PHX,2015-16,0.7087600468563344,11.5,17.5,3.5,8.0,1.0,0.5
PHX,2016-17,0.6849233172846985,17.5,24.5,8.5,9.5,1.0,1.0
PHX,2017-18,0.6894511324219548,20.0,27.5,9.0,10.0,2.0,1.5
PHX,2018-19,0.5559071409184616,17.0,22.666666666666668,7.333333333333333,11.333333333333334,1.0,0.3333333333333333
PHX,2019-20,0.5002903993119933,13.0,22.333333333333332,9.333333333333334,10.666666666666666,1.0,0.3333333333333333
PHX,2020-21,0.7203791469194313,20.0,38.0,5.0,6.0,2.0,1.0
PHX,2021-22,0.6902319280250421,13.0,30.0,5.333333333333333,4.333333333333333,1.3333333333333333,0.3333333333333333
PHX,2022-23,0.4010025062656642,2.0,16.0,6.0,6.0,0.0,0.0
PHX,2024-25,0.4941276489587983,8.666666666666666,16.666666666666668,5.666666666666667,8.666666666666666,0.3333333333333333,0.0
POR,2014-15,0.4408817635270541,10.0,11.0,7.0,7.0,1.0,0.0
POR,2015-16,0.5136547697523308,10.5,22.5,7.0,4.0,1.0,1.5
POR,2016-17,0.6197196620583718,18.0,25.5,10.5,8.5,2.0,0.5
POR,2017-18,0.6163501552058341,19.5,29.5,10.0,7.0,3.0,2.0
POR,2018-19,0.679431314119021,17.0,32.666666666666664,9.0,7.333333333333333,0.6666666666666666,1.6666666666666667
POR,2019-20,0.5358518688167441,15.666666666666666,24.666666666666668,7.333333333333333,11.333333333333334,0.6666666666666666,1.0
POR,2020-21,0.6062804108848441,20.5,28.5,10.0,6.5,3.0,2.0
POR,2021-22,0.6887825632480902,24.0,36.5,10.5,5.5,2.5,1.0
POR,2022-23,0.684487498050312,19.333333333333332,33.0,8.666666666666666,6.666666666666667,0.6666666666666666,1.6666666666666667
POR,2024-25,0.7321772639691715,18.0,38.0,3.0,8.0,0.0,0.0
SAC,2014-15,0.5039787798408488,7.0,19.0,3.0,7.0,4.0,2.0
SAC,2015-16,0.5542427497314715,14.0,23.0,10.5,8.0,1.0,0.5
SAC,2016-17,0.5946141292213067,17.5,20.0,7.5,13.0,1.5,1.0
SAC,2017-18,0.590144658466775,22.5,24.0,10.5,11.5,4.0,1.0
SAC,2018-19,0.597678009666592,15.0,27.0,9.0,6.5,1.5,0.5
SAC,2019-20,0.5558421200312181,13.666666666666666,20.333333333333332,5.666666666666667,8.666666666666666,1.6666666666666667,0.0
SAC,2020-21,0.5565217391304348,12.0,16.0,8.0,7.0,2.0,1.0
SAC,2021-22,0.5154123753147958,7.666666666666667,31.666666666666668,6.333333333333333,7.333333333333333,0.3333333333333333,0.6666666666666666
SAC,2022-23,0.5738940785508704,15.0,33.333333333333336,7.333333333333333,9.0,0.6666666666666666,1.0
SAC,2024-25,0.5660536850015457,16.333333333333332,27.666666666666668,9.0,7.666666666666667,1.3333333333333333,0.6666666666666666
SAS,2014-15,0.5277235878094247,11.0,23.0,5.5,8.0,1.5,1.0
SAS,2015-16,0.6172145148523102,12.0,25.5,6.0,6.0,1.0,1.0
SAS,2016-17,0.5892675010834818,11.0,23.0,7.0,7.5,1.0,0.0
SAS,2017-18,0.5589437020663787,14.0,30.5,11.0,8.0,0.5,0.5
SAS,2018-19,0.6182909890542175,17.0,36.0,8.0,8.75,1.75,0.25
SAS,2019-20,0.5711357209219682,16.333333333333332,30.0,7.333333333333333,12.0,1.0,0.6666666666666666
SAS,2020-21,0.5643775841508375,14.0,26.333333333333332,7.333333333333333,10.0,1.0,0.3333333333333333
SAS,2021-22,0.6239168110918544,19.0,36.0,9.0,6.0,1.0,2.0
SAS,2022-23,0.5898193711732747,12.666666666666666,26.666666666666668,9.333333333333334,6.333333333333333,1.3333333333333333,0.6666666666666666
SAS,2024-25,0.5605624027909455,16.0,16.333333333333332,10.333333333333334,10.333333333333334,1.0,0.6666666666666666
TOR,2014-15,0.6201180199698629,14.5,25.75,4.0,10.25,1.5,1.0
TOR,2015-16,0.5966127650715465,9.0,23.0,5.333333333333333,7.333333333333333,1.3333333333333333,0.0
TOR,2016-17,0.6045726034935271,15.333333333333334,27.666666666666668,8.333333333333334,9.666666666666666,1.0,0.0
TOR,2017-18,0.6703259652907811,15.0,29.333333333333332,6.666666666666667,8.0,0.6666666666666666,0.6666666666666666
TOR,2018-19,0.5690414553927332,5.5,23.5,3.0,6.0,0.5,0.5
TOR,2019-20,0.4549241251753089,14.5,16.5,11.5,10.0,0.0,1.0
